,0
FSC-H_mean,1130464.875
FSC-H_median,1174149.5
FSC-H_mode,261769.796875
FSC-H_std,768395.0
FSC-H_var,590430863360.0
FSC-H_range,3740967.0
FSC-H_iqr,1372674.328125
FSC-H_cv,0.6797159314155579
FSC-H_skew,0.32955302420520494
FSC-H_kurtosis,-1.308468168774384
FSC-H_min,243639.09375
FSC-H_q05,265474.3125
FSC-H_q25,359802.296875
FSC-H_q75,1732476.625
FSC-H_q95,2362932.625
FSC-H_max,3984606.0
FSC-H_entropy,4.610879252546775
FSC-H_num_outliers,326.0
FSC-H_num_modes,5.0
FSC-A_mean,1521295.625
FSC-A_median,1560307.625
FSC-A_mode,277320.1875
FSC-A_std,1213261.375
FSC-A_var,1472003047424.0
FSC-A_range,83150752.0
FSC-A_iqr,2068391.5625
FSC-A_cv,0.7975184917449951
FSC-A_skew,1.0674305751567017
FSC-A_kurtosis,10.838038481240545
FSC-A_min,-1666816.875
FSC-A_q05,265941.415625
FSC-A_q25,377598.6875
FSC-A_q75,2445990.25
FSC-A_q95,3381385.175
FSC-A_max,81483936.0
FSC-A_entropy,6.693011937122952
FSC-A_num_outliers,19356.0
FSC-A_num_modes,22.0
SSC-H_mean,711303.9375
SSC-H_median,268344.40625
SSC-H_mode,62223.80078125
SSC-H_std,1029702.25
SSC-H_var,1060286758912.0
SSC-H_range,5660155.0
SSC-H_iqr,469572.75390625
SSC-H_cv,1.4476262331008911
SSC-H_skew,1.8625890966869463
SSC-H_kurtosis,2.5252166040740276
SSC-H_min,5.5
SSC-H_q05,61858.1015625
SSC-H_q25,100763.15234375
SSC-H_q75,570335.90625
SSC-H_q95,3011560.225
SSC-H_max,5660160.5
SSC-H_entropy,5.376525398965298
SSC-H_num_outliers,737377.0
SSC-H_num_modes,5.0
SSC-A_mean,811577.1875
SSC-A_median,285679.09375
SSC-A_mode,72792.0
SSC-A_std,1248807.625
SSC-A_var,1559520608256.0
SSC-A_range,146520016.0
SSC-A_iqr,581754.21875
SSC-A_cv,1.5387417078018188
SSC-A_skew,3.4412147035039453
SSC-A_kurtosis,84.38661421133187
SSC-A_min,-11448660.0
SSC-A_q05,57816.611328125
SSC-A_q25,98363.5
SSC-A_q75,680117.71875
SSC-A_q95,3466547.375
SSC-A_max,135071360.0
SSC-A_entropy,8.567596744053294
SSC-A_num_outliers,738109.0
SSC-A_num_modes,27.0
CD103 FITC-H_mean,2812.761962890625
CD103 FITC-H_median,1368.5999755859375
CD103 FITC-H_mode,448.0
CD103 FITC-H_std,13392.943359375
CD103 FITC-H_var,179370944.0
CD103 FITC-H_range,5678528.0
CD103 FITC-H_iqr,3448.5999755859375
CD103 FITC-H_cv,4.761491775512695
CD103 FITC-H_skew,222.6182912635539
CD103 FITC-H_kurtosis,72810.29586511974
CD103 FITC-H_min,0.4000000059604645
CD103 FITC-H_q05,337.0
CD103 FITC-H_q25,524.4000244140625
CD103 FITC-H_q75,3973.0
CD103 FITC-H_q95,9387.400390625
CD103 FITC-H_max,5678528.5
CD103 FITC-H_entropy,5.39991122253377
CD103 FITC-H_num_outliers,202770.0
CD103 FITC-H_num_modes,44.0
CD103 FITC-A_mean,3176.953125
CD103 FITC-A_median,1291.5999755859375
CD103 FITC-A_mode,192.60000610351562
CD103 FITC-A_std,40644.671875
CD103 FITC-A_var,1651989504.0
CD103 FITC-A_range,60960096.0
CD103 FITC-A_iqr,4134.099914550781
CD103 FITC-A_cv,12.793601036071777
CD103 FITC-A_skew,999.7290264300199
CD103 FITC-A_kurtosis,1367081.302908142
CD103 FITC-A_min,-96398.5
CD103 FITC-A_q05,-88.5
CD103 FITC-A_q25,285.79998779296875
CD103 FITC-A_q75,4419.89990234375
CD103 FITC-A_q95,11900.7001953125
CD103 FITC-A_max,60863696.0
CD103 FITC-A_entropy,9.058951786898287
CD103 FITC-A_num_outliers,242288.0
CD103 FITC-A_num_modes,12.0
