,0
FSC-H_mean,1051753.75
FSC-H_median,605316.375
FSC-H_mode,254571.90625
FSC-H_std,802806.1875
FSC-H_var,644497735680.0
FSC-H_range,3729249.75
FSC-H_iqr,1423960.1953125
FSC-H_cv,0.7633024454116821
FSC-H_skew,0.54395764575481
FSC-H_kurtosis,-1.2563294409720571
FSC-H_min,248485.203125
FSC-H_q05,261042.09921875
FSC-H_q25,323125.5234375
FSC-H_q75,1747085.71875
FSC-H_q95,2372634.7375
FSC-H_max,3977735.0
FSC-H_entropy,4.365916982299598
FSC-H_num_outliers,138.0
FSC-H_num_modes,5.0
FSC-A_mean,1498531.125
FSC-A_median,680588.5
FSC-A_mode,262820.6875
FSC-A_std,1354053.5
FSC-A_var,1833460957184.0
FSC-A_range,71566032.0
FSC-A_iqr,2329154.65625
FSC-A_cv,0.9035871624946594
FSC-A_skew,1.115217323267189
FSC-A_kurtosis,8.532474513641144
FSC-A_min,148395.5
FSC-A_q05,263311.4203125
FSC-A_q25,341946.40625
FSC-A_q75,2671101.0625
FSC-A_q95,3745828.5
FSC-A_max,71714424.0
FSC-A_entropy,6.284350033748602
FSC-A_num_outliers,7201.0
FSC-A_num_modes,36.0
SSC-H_mean,933011.3125
SSC-H_median,189389.75
SSC-H_mode,65604.5
SSC-H_std,1290406.75
SSC-H_var,1665149435904.0
SSC-H_range,5659439.0
SSC-H_iqr,1812146.591796875
SSC-H_cv,1.3830558061599731
SSC-H_skew,1.28876015048016
SSC-H_kurtosis,0.11096226195982606
SSC-H_min,0.699999988079071
SSC-H_q05,62726.11640625
SSC-H_q25,94945.126953125
SSC-H_q75,1907091.71875
SSC-H_q95,3580276.9499999997
SSC-H_max,5659439.5
SSC-H_entropy,4.032444481736042
SSC-H_num_outliers,14453.0
SSC-H_num_modes,4.0
SSC-A_mean,1097061.25
SSC-A_median,193231.453125
SSC-A_mode,82965.8984375
SSC-A_std,1577037.5
SSC-A_var,2487047159808.0
SSC-A_range,96638632.0
SSC-A_iqr,2143623.328125
SSC-A_cv,1.4375108480453491
SSC-A_skew,1.9051463936198267
SSC-A_kurtosis,19.830007034668757
SSC-A_min,-13911.2998046875
SSC-A_q05,57883.3984375
SSC-A_q25,92243.296875
SSC-A_q75,2235866.625
SSC-A_q95,4266877.824999999
SSC-A_max,96624720.0
SSC-A_entropy,6.571770988128739
SSC-A_num_outliers,25308.0
SSC-A_num_modes,34.0
CD103 FITC-H_mean,2429.661865234375
CD103 FITC-H_median,830.5999755859375
CD103 FITC-H_mode,460.3999938964844
CD103 FITC-H_std,12313.208984375
CD103 FITC-H_var,151615104.0
CD103 FITC-H_range,5676682.0
CD103 FITC-H_iqr,3822.7001037597656
CD103 FITC-H_cv,5.067869186401367
CD103 FITC-H_skew,229.5614062926355
CD103 FITC-H_kurtosis,70339.85125354801
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,323.1000061035156
CD103 FITC-H_q25,487.8999938964844
CD103 FITC-H_q75,4310.60009765625
CD103 FITC-H_q95,6612.5
CD103 FITC-H_max,5676682.0
CD103 FITC-H_entropy,4.984609034084755
CD103 FITC-H_num_outliers,47840.0
CD103 FITC-H_num_modes,42.0
CD103 FITC-A_mean,2811.052734375
CD103 FITC-A_median,793.5999755859375
CD103 FITC-A_mode,188.6999969482422
CD103 FITC-A_std,22239.720703125
CD103 FITC-A_var,494605216.0
CD103 FITC-A_range,15271394.0
CD103 FITC-A_iqr,4926.100006103516
CD103 FITC-A_cv,7.911527156829834
CD103 FITC-A_skew,344.28086966407767
CD103 FITC-A_kurtosis,170365.29940866205
CD103 FITC-A_min,-1953.9000244140625
CD103 FITC-A_q05,-144.5
CD103 FITC-A_q25,220.39999389648438
CD103 FITC-A_q75,5146.5
CD103 FITC-A_q95,8375.900390625
CD103 FITC-A_max,15269440.0
CD103 FITC-A_entropy,6.036976024176341
CD103 FITC-A_num_outliers,50990.0
CD103 FITC-A_num_modes,29.0
B7 PE-H_mean,5334.4287109375
B7 PE-H_median,1098.800048828125
B7 PE-H_mode,602.7000122070312
B7 PE-H_std,18826.15625
B7 PE-H_var,354424160.0
B7 PE-H_range,5702395.0
B7 PE-H_iqr,5057.1002197265625
B7 PE-H_cv,3.529179573059082
B7 PE-H_skew,117.37998016155669
B7 PE-H_kurtosis,26631.525383125278
B7 PE-H_min,0.0
B7 PE-H_q05,378.70001220703125
B7 PE-H_q25,650.0999755859375
B7 PE-H_q75,5707.2001953125
B7 PE-H_q95,22658.194238281223
B7 PE-H_max,5702395.0
B7 PE-H_entropy,5.281542949512165
B7 PE-H_num_outliers,288895.0
B7 PE-H_num_modes,43.0
B7 PE-A_mean,6657.92626953125
B7 PE-A_median,1260.0999755859375
B7 PE-A_mode,453.20001220703125
B7 PE-A_std,36303.0390625
B7 PE-A_var,1317910656.0
B7 PE-A_range,31620374.0
B7 PE-A_iqr,7030.200012207031
B7 PE-A_cv,5.4526047706604
B7 PE-A_skew,351.77438796607015
B7 PE-A_kurtosis,224550.695330266
B7 PE-A_min,-5173.2001953125
B7 PE-A_q05,-457.29998779296875
B7 PE-A_q25,262.29998779296875
B7 PE-A_q75,7292.5
B7 PE-A_q95,29251.290722656195
B7 PE-A_max,31615200.0
B7 PE-A_entropy,7.415542233240468
B7 PE-A_num_outliers,284465.0
B7 PE-A_num_modes,24.0
CD38 PC7-H_mean,18170.90625
CD38 PC7-H_median,5745.2001953125
CD38 PC7-H_mode,2695.89990234375
CD38 PC7-H_std,54641.04296875
CD38 PC7-H_var,2985643520.0
CD38 PC7-H_range,5669699.0
CD38 PC7-H_iqr,9766.10009765625
CD38 PC7-H_cv,3.0070619583129883
CD38 PC7-H_skew,20.841655748515947
CD38 PC7-H_kurtosis,1088.2017989494664
CD38 PC7-H_min,0.10000000149011612
CD38 PC7-H_q05,1234.0999755859375
CD38 PC7-H_q25,2820.60009765625
CD38 PC7-H_q75,12586.7001953125
CD38 PC7-H_q95,82814.39335937497
CD38 PC7-H_max,5669699.0
CD38 PC7-H_entropy,5.975065133531905
CD38 PC7-H_num_outliers,420097.0
CD38 PC7-H_num_modes,53.0
CD38 PC7-A_mean,23029.63671875
CD38 PC7-A_median,6068.2998046875
CD38 PC7-A_mode,2735.800048828125
CD38 PC7-A_std,72911.9609375
CD38 PC7-A_var,5316154368.0
CD38 PC7-A_range,11721533.0
CD38 PC7-A_iqr,14037.899658203125
CD38 PC7-A_cv,3.1660056114196777
CD38 PC7-A_skew,25.82521152019898
CD38 PC7-A_kurtosis,1709.22429182714
CD38 PC7-A_min,-2043.0999755859375
CD38 PC7-A_q05,901.5999755859375
CD38 PC7-A_q25,2605.199951171875
CD38 PC7-A_q75,16643.099609375
CD38 PC7-A_q95,110901.49492187497
CD38 PC7-A_max,11719490.0
CD38 PC7-A_entropy,6.297553561838788
CD38 PC7-A_num_outliers,406800.0
CD38 PC7-A_num_modes,43.0
CD8 APC-H_mean,28977.36328125
CD8 APC-H_median,540.5
CD8 APC-H_mode,336.3999938964844
CD8 APC-H_std,121690.3515625
CD8 APC-H_var,14808542208.0
CD8 APC-H_range,5641325.5
CD8 APC-H_iqr,523.6000061035156
CD8 APC-H_cv,4.199497222900391
CD8 APC-H_skew,4.650259576401346
CD8 APC-H_kurtosis,33.76086847421396
CD8 APC-H_min,0.0
CD8 APC-H_q05,196.6999969482422
CD8 APC-H_q25,351.1000061035156
CD8 APC-H_q75,874.7000122070312
CD8 APC-H_q95,319160.7062499966
CD8 APC-H_max,5641325.5
CD8 APC-H_entropy,6.483778745739592
CD8 APC-H_num_outliers,343774.0
CD8 APC-H_num_modes,10.0
CD8 APC-A_mean,41570.56640625
CD8 APC-A_median,201.39999389648438
CD8 APC-A_mode,36.599998474121094
CD8 APC-A_std,181623.359375
CD8 APC-A_var,32987043840.0
CD8 APC-A_range,31079028.0
CD8 APC-A_iqr,779.6000137329102
CD8 APC-A_cv,4.369037628173828
CD8 APC-A_skew,11.525798119454153
CD8 APC-A_kurtosis,1089.878917727537
CD8 APC-A_min,-2371.10009765625
CD8 APC-A_q05,-343.29998779296875
CD8 APC-A_q25,-71.4000015258789
CD8 APC-A_q75,708.2000122070312
CD8 APC-A_q95,457779.8437499986
CD8 APC-A_max,31076656.0
CD8 APC-A_entropy,8.580339112520186
CD8 APC-A_num_outliers,328008.0
CD8 APC-A_num_modes,15.0
FSC-Width_mean,1290.009765625
FSC-Width_median,1235.408935546875
FSC-Width_mode,1024.0
FSC-Width_std,273.7299499511719
FSC-Width_var,74928.0859375
FSC-Width_range,17925.5703125
FSC-Width_iqr,474.60455322265625
FSC-Width_cv,0.21219214797019958
FSC-Width_skew,1.8373258563836814
FSC-Width_kurtosis,26.533645572342554
FSC-Width_min,559.276611328125
FSC-Width_q05,969.9345764160156
FSC-Width_q25,1058.7139892578125
FSC-Width_q75,1533.3185424804688
FSC-Width_q95,1663.9180847167968
FSC-Width_max,18484.84765625
FSC-Width_entropy,4.869354054665898
FSC-Width_num_outliers,18991.0
FSC-Width_num_modes,34.0
Time_mean,28473796.0
Time_median,28568624.0
Time_mode,38392524.0
Time_std,13793220.0
Time_var,190252924796928.0
Time_range,54466640.0
Time_iqr,22751894.0
Time_cv,0.48441803455352783
Time_skew,0.0021617451072838125
Time_kurtosis,-1.0520244890109565
Time_min,80477.828125
Time_q05,6331020.350000001
Time_q25,17061634.0
Time_q75,39813528.0
Time_q95,50685423.199999996
Time_max,54547116.0
Time_entropy,5.194460673151752
Time_num_outliers,0.0
Time_num_modes,11.0
