,0
FSC-A_mean,3497707.25
FSC-A_median,3441146.0
FSC-A_mode,3022190.5
FSC-A_std,901353.0
FSC-A_var,812437209088.0
FSC-A_range,96534784.0
FSC-A_iqr,533248.875
FSC-A_cv,0.2576982378959656
FSC-A_skew,26.10532198406418
FSC-A_kurtosis,1672.9819750980935
FSC-A_min,2207034.25
FSC-A_q05,2640375.625
FSC-A_q25,3166123.625
FSC-A_q75,3699372.5
FSC-A_q95,4337339.375
FSC-A_max,98741816.0
FSC-A_entropy,7.51009927957271
FSC-A_num_outliers,25086.0
FSC-A_num_modes,32.0
SSC-A_mean,4013913.75
SSC-A_median,4013772.25
SSC-A_mode,3960053.0
SSC-A_std,1784624.75
SSC-A_var,3184885497856.0
SSC-A_range,96762016.0
SSC-A_iqr,1363577.5625
SSC-A_cv,0.4446096420288086
SSC-A_skew,6.954885053292984
SSC-A_kurtosis,188.64072216020605
SSC-A_min,971951.5
SSC-A_q05,1163826.90625
SSC-A_q25,3345623.9375
SSC-A_q75,4709201.5
SSC-A_q95,6266363.625
SSC-A_max,97733968.0
SSC-A_entropy,6.960715626535143
SSC-A_num_outliers,53847.0
SSC-A_num_modes,43.0
CD103 FITC-A_mean,23233.85546875
CD103 FITC-A_median,9879.5
CD103 FITC-A_mode,7308.7001953125
CD103 FITC-A_std,158362.65625
CD103 FITC-A_var,25078728704.0
CD103 FITC-A_range,37766136.0
CD103 FITC-A_iqr,5585.900390625
CD103 FITC-A_cv,6.816030025482178
CD103 FITC-A_skew,80.59531705229162
CD103 FITC-A_kurtosis,15255.074627887247
CD103 FITC-A_min,5070.2001953125
CD103 FITC-A_q05,6589.7998046875
CD103 FITC-A_q25,8061.0
CD103 FITC-A_q75,13646.900390625
CD103 FITC-A_q95,25254.07421875
CD103 FITC-A_max,37771208.0
CD103 FITC-A_entropy,7.506095184832862
CD103 FITC-A_num_outliers,31623.0
CD103 FITC-A_num_modes,16.0
B7 PE-A_mean,16914.5078125
B7 PE-A_median,8829.0
B7 PE-A_mode,7713.5
B7 PE-A_std,138269.125
B7 PE-A_var,19118352384.0
B7 PE-A_range,49210996.0
B7 PE-A_iqr,2573.7998046875
B7 PE-A_cv,8.17458724975586
B7 PE-A_skew,169.16412802833034
B7 PE-A_kurtosis,46681.393195650315
B7 PE-A_min,6564.39990234375
B7 PE-A_q05,6844.60009765625
B7 PE-A_q25,7757.2998046875
B7 PE-A_q75,10331.099609375
B7 PE-A_q95,22552.19921875
B7 PE-A_max,49217560.0
B7 PE-A_entropy,8.431633528226524
B7 PE-A_num_outliers,41541.0
B7 PE-A_num_modes,17.0
CD38 PC7-A_mean,46460.3203125
CD38 PC7-A_median,25319.94921875
CD38 PC7-A_mode,18455.0
CD38 PC7-A_std,94621.1015625
CD38 PC7-A_var,8953153536.0
CD38 PC7-A_range,17846340.0
CD38 PC7-A_iqr,12580.25048828125
CD38 PC7-A_cv,2.036600351333618
CD38 PC7-A_skew,48.400338032699636
CD38 PC7-A_kurtosis,6460.516600504373
CD38 PC7-A_min,17643.80078125
CD38 PC7-A_q05,18300.80078125
CD38 PC7-A_q25,21065.62451171875
CD38 PC7-A_q75,33645.875
CD38 PC7-A_q95,151899.92578125
CD38 PC7-A_max,17863984.0
CD38 PC7-A_entropy,6.27444366350465
CD38 PC7-A_num_outliers,72594.0
CD38 PC7-A_num_modes,21.0
CD8 APC-A_mean,9090.0146484375
CD8 APC-A_median,3279.89990234375
CD8 APC-A_mode,2733.60009765625
CD8 APC-A_std,57138.08203125
CD8 APC-A_var,3264760576.0
CD8 APC-A_range,7672386.5
CD8 APC-A_iqr,1359.10009765625
CD8 APC-A_cv,6.2858076095581055
CD8 APC-A_skew,25.311621631977786
CD8 APC-A_kurtosis,1447.8376779577286
CD8 APC-A_min,2114.300048828125
CD8 APC-A_q05,2266.699951171875
CD8 APC-A_q25,2732.199951171875
CD8 APC-A_q75,4091.300048828125
CD8 APC-A_q95,7623.0750732421875
CD8 APC-A_max,7674501.0
CD8 APC-A_entropy,5.722246264648936
CD8 APC-A_num_outliers,34139.0
CD8 APC-A_num_modes,26.0
