,0
FSC-A_mean,7141233.5
FSC-A_median,6195242.0
FSC-A_mode,3648283.0
FSC-A_std,3908587.25
FSC-A_var,15277055016960.0
FSC-A_range,81807848.0
FSC-A_iqr,2892110.875
FSC-A_cv,0.5473266243934631
FSC-A_skew,5.761244734540443
FSC-A_kurtosis,67.71622673111494
FSC-A_min,3483828.25
FSC-A_q05,3891195.45
FSC-A_q25,5056599.875
FSC-A_q75,7948710.75
FSC-A_q95,13211562.699999992
FSC-A_max,85291680.0
FSC-A_entropy,5.168470735253091
FSC-A_num_outliers,1115.0
FSC-A_num_modes,18.0
SSC-A_mean,5955171.5
SSC-A_median,4616341.0
SSC-A_mode,3732398.25
SSC-A_std,4672292.5
SSC-A_var,21830318424064.0
SSC-A_range,108045344.0
SSC-A_iqr,3050471.125
SSC-A_cv,0.7845773100852966
SSC-A_skew,6.520961962751229
SSC-A_kurtosis,80.67269063554212
SSC-A_min,2593014.25
SSC-A_q05,2857783.2125
SSC-A_q25,3632667.625
SSC-A_q75,6683138.75
SSC-A_q95,12608548.149999976
SSC-A_max,110638360.0
SSC-A_entropy,5.410223654342591
SSC-A_num_outliers,1241.0
SSC-A_num_modes,15.0
CD103 FITC-A_mean,87642.3046875
CD103 FITC-A_median,15410.7998046875
CD103 FITC-A_mode,7502.89990234375
CD103 FITC-A_std,393364.5625
CD103 FITC-A_var,154735673344.0
CD103 FITC-A_range,16428328.0
CD103 FITC-A_iqr,23276.199951171875
CD103 FITC-A_cv,4.488295555114746
CD103 FITC-A_skew,17.03571497513429
CD103 FITC-A_kurtosis,467.55782094987416
CD103 FITC-A_min,5274.5
CD103 FITC-A_q05,6616.9001953125
CD103 FITC-A_q25,8944.875244140625
CD103 FITC-A_q75,32221.0751953125
CD103 FITC-A_q95,390991.27031249955
CD103 FITC-A_max,16433602.0
CD103 FITC-A_entropy,4.860878143399933
CD103 FITC-A_num_outliers,2515.0
CD103 FITC-A_num_modes,25.0
B7 PE-A_mean,87288.34375
B7 PE-A_median,31401.44921875
B7 PE-A_mode,11729.400390625
B7 PE-A_std,278603.90625
B7 PE-A_var,77620142080.0
B7 PE-A_range,11251107.0
B7 PE-A_iqr,56605.90234375
B7 PE-A_cv,3.191765308380127
B7 PE-A_skew,17.640878660406724
B7 PE-A_kurtosis,472.686280993458
B7 PE-A_min,10911.7998046875
B7 PE-A_q05,11955.310107421876
B7 PE-A_q25,16990.349609375
B7 PE-A_q75,73596.251953125
B7 PE-A_q95,289682.3593749993
B7 PE-A_max,11262019.0
B7 PE-A_entropy,4.149928327656286
B7 PE-A_num_outliers,1958.0
B7 PE-A_num_modes,25.0
CD38 PC7-A_mean,179247.296875
CD38 PC7-A_median,88106.203125
CD38 PC7-A_mode,37485.8984375
CD38 PC7-A_std,231367.625
CD38 PC7-A_var,53530980352.0
CD38 PC7-A_range,4496354.0
CD38 PC7-A_iqr,165115.3447265625
CD38 PC7-A_cv,1.2907732725143433
CD38 PC7-A_skew,4.585233702874716
CD38 PC7-A_kurtosis,40.9185770795883
CD38 PC7-A_min,35917.3984375
CD38 PC7-A_q05,38665.84609375
CD38 PC7-A_q25,51869.7998046875
CD38 PC7-A_q75,216985.14453125
CD38 PC7-A_q95,603432.60625
CD38 PC7-A_max,4532271.5
CD38 PC7-A_entropy,3.4739433861202915
CD38 PC7-A_num_outliers,1441.0
CD38 PC7-A_num_modes,18.0
CD8 APC-A_mean,151333.234375
CD8 APC-A_median,12868.9501953125
CD8 APC-A_mode,4382.0
CD8 APC-A_std,281651.5
CD8 APC-A_var,79327559680.0
CD8 APC-A_range,4401766.0
CD8 APC-A_iqr,113641.60107421875
CD8 APC-A_cv,1.8611345291137695
CD8 APC-A_skew,2.6098902023240846
CD8 APC-A_kurtosis,10.976973170529055
CD8 APC-A_min,3454.699951171875
CD8 APC-A_q05,3739.199951171875
CD8 APC-A_q25,5582.72509765625
CD8 APC-A_q75,119224.326171875
CD8 APC-A_q95,785735.3374999994
CD8 APC-A_max,4405220.5
CD8 APC-A_entropy,3.004124482832022
CD8 APC-A_num_outliers,3437.0
CD8 APC-A_num_modes,10.0
