,0
FSC-A_mean,5319435.0
FSC-A_median,4475735.0
FSC-A_mode,4234558.5
FSC-A_std,2459154.25
FSC-A_var,6047439781888.0
FSC-A_range,82127080.0
FSC-A_iqr,1969272.0
FSC-A_cv,0.46229612827301025
FSC-A_skew,4.864628736577726
FSC-A_kurtosis,69.26120208455531
FSC-A_min,2822408.75
FSC-A_q05,3348933.25
FSC-A_q25,3942774.5
FSC-A_q75,5912046.5
FSC-A_q95,9763923.199999997
FSC-A_max,84949488.0
FSC-A_entropy,5.798250753275094
FSC-A_num_outliers,4862.0
FSC-A_num_modes,22.0
SSC-A_mean,5992498.5
SSC-A_median,5093507.5
SSC-A_mode,3557177.25
SSC-A_std,3065729.0
SSC-A_var,9398694969344.0
SSC-A_range,69551048.0
SSC-A_iqr,2486670.5
SSC-A_cv,0.5115944743156433
SSC-A_skew,5.622108637094662
SSC-A_kurtosis,61.7283990621535
SSC-A_min,3461431.0
SSC-A_q05,3657970.75
SSC-A_q25,4293140.5
SSC-A_q75,6779811.0
SSC-A_q95,10667032.999999998
SSC-A_max,73012480.0
SSC-A_entropy,5.433027969956956
SSC-A_num_outliers,3531.0
SSC-A_num_modes,25.0
CD103 FITC-A_mean,344694.46875
CD103 FITC-A_median,142243.5
CD103 FITC-A_mode,13484.900390625
CD103 FITC-A_std,671908.8125
CD103 FITC-A_var,451461414912.0
CD103 FITC-A_range,34034396.0
CD103 FITC-A_iqr,353719.38671875
CD103 FITC-A_cv,1.949288010597229
CD103 FITC-A_skew,8.529525152195333
CD103 FITC-A_kurtosis,179.57507096792216
CD103 FITC-A_min,12491.099609375
CD103 FITC-A_q05,16561.819921875
CD103 FITC-A_q25,33490.30078125
CD103 FITC-A_q75,387209.6875
CD103 FITC-A_q95,1313854.599999995
CD103 FITC-A_max,34046888.0
CD103 FITC-A_entropy,5.123349303108515
CD103 FITC-A_num_outliers,5615.0
CD103 FITC-A_num_modes,23.0
B7 PE-A_mean,187570.703125
B7 PE-A_median,103179.1015625
B7 PE-A_mode,25736.900390625
B7 PE-A_std,390281.28125
B7 PE-A_var,152319475712.0
B7 PE-A_range,36107828.0
B7 PE-A_iqr,177026.89453125
B7 PE-A_cv,2.0807156562805176
B7 PE-A_skew,25.849932938671277
B7 PE-A_kurtosis,1575.809203289668
B7 PE-A_min,10886.5
B7 PE-A_q05,17256.360546875
B7 PE-A_q25,40188.19921875
B7 PE-A_q75,217215.09375
B7 PE-A_q95,585552.9499999996
B7 PE-A_max,36118716.0
B7 PE-A_entropy,5.5882434225547435
B7 PE-A_num_outliers,4571.0
B7 PE-A_num_modes,22.0
CD38 PC7-A_mean,151581.890625
CD38 PC7-A_median,87008.6015625
CD38 PC7-A_mode,29010.400390625
CD38 PC7-A_std,225031.078125
CD38 PC7-A_var,50638987264.0
CD38 PC7-A_range,20160146.0
CD38 PC7-A_iqr,116787.90625
CD38 PC7-A_cv,1.484551191329956
CD38 PC7-A_skew,17.95305563316817
CD38 PC7-A_kurtosis,1169.077904527094
CD38 PC7-A_min,28609.599609375
CD38 PC7-A_q05,30959.660546875
CD38 PC7-A_q25,46012.5
CD38 PC7-A_q75,162800.40625
CD38 PC7-A_q95,509981.9062499998
CD38 PC7-A_max,20188756.0
CD38 PC7-A_entropy,5.042684063532402
CD38 PC7-A_num_outliers,6527.0
CD38 PC7-A_num_modes,12.0
CD8 APC-A_mean,28858.099609375
CD8 APC-A_median,4431.7998046875
CD8 APC-A_mode,1684.5999755859375
CD8 APC-A_std,130325.7109375
CD8 APC-A_var,16984791040.0
CD8 APC-A_range,2663634.75
CD8 APC-A_iqr,5722.89990234375
CD8 APC-A_cv,4.516088008880615
CD8 APC-A_skew,7.145849031302325
CD8 APC-A_kurtosis,57.98641978929568
CD8 APC-A_min,1536.9000244140625
CD8 APC-A_q05,1705.199951171875
CD8 APC-A_q25,2571.39990234375
CD8 APC-A_q75,8294.2998046875
CD8 APC-A_q95,54576.919531249914
CD8 APC-A_max,2665171.75
CD8 APC-A_entropy,4.416005687864042
CD8 APC-A_num_outliers,7888.0
CD8 APC-A_num_modes,25.0
