,0
FSC-A_mean,10235246.0
FSC-A_median,7962264.0
FSC-A_mode,6389052.5
FSC-A_std,7487619.0
FSC-A_var,56064439484416.0
FSC-A_range,102295744.0
FSC-A_iqr,5164157.5
FSC-A_cv,0.7315524220466614
FSC-A_skew,3.5758336189821027
FSC-A_kurtosis,19.702168763642675
FSC-A_min,3272663.0
FSC-A_q05,3966553.1875
FSC-A_q25,6322833.5
FSC-A_q75,11486991.0
FSC-A_q95,23672160.0
FSC-A_max,105568408.0
FSC-A_entropy,5.769008866351014
FSC-A_num_outliers,12126.0
FSC-A_num_modes,15.0
SSC-A_mean,11490761.0
SSC-A_median,7987379.0
SSC-A_mode,3801762.0
SSC-A_std,10969382.0
SSC-A_var,120327350779904.0
SSC-A_range,149251536.0
SSC-A_iqr,6985537.75
SSC-A_cv,0.9546262621879578
SSC-A_skew,3.8609679250978854
SSC-A_kurtosis,21.92596479522267
SSC-A_min,2809818.75
SSC-A_q05,3770678.125
SSC-A_q25,5727434.0
SSC-A_q75,12712971.75
SSC-A_q95,31312518.5
SSC-A_max,152061360.0
SSC-A_entropy,5.951384548008001
SSC-A_num_outliers,13211.0
SSC-A_num_modes,16.0
CD103 FITC-A_mean,25412.865234375
CD103 FITC-A_median,13925.650390625
CD103 FITC-A_mode,8775.2001953125
CD103 FITC-A_std,183307.859375
CD103 FITC-A_var,33601769472.0
CD103 FITC-A_range,28761428.0
CD103 FITC-A_iqr,15074.37548828125
CD103 FITC-A_cv,7.213191509246826
CD103 FITC-A_skew,111.38587073552189
CD103 FITC-A_kurtosis,14914.770796182265
CD103 FITC-A_min,4501.7001953125
CD103 FITC-A_q05,5437.89990234375
CD103 FITC-A_q25,8733.099609375
CD103 FITC-A_q75,23807.47509765625
CD103 FITC-A_q95,68682.8515625
CD103 FITC-A_max,28765930.0
CD103 FITC-A_entropy,6.322428889046228
CD103 FITC-A_num_outliers,13640.0
CD103 FITC-A_num_modes,21.0
B7 PE-A_mean,34261.46875
B7 PE-A_median,17384.55078125
B7 PE-A_mode,6478.10009765625
B7 PE-A_std,279834.78125
B7 PE-A_var,78307508224.0
B7 PE-A_range,41607180.0
B7 PE-A_iqr,19974.87548828125
B7 PE-A_cv,8.167623519897461
B7 PE-A_skew,91.64828113606578
B7 PE-A_kurtosis,10044.49750249881
B7 PE-A_min,6418.2001953125
B7 PE-A_q05,7293.724853515625
B7 PE-A_q25,11361.2001953125
B7 PE-A_q75,31336.07568359375
B7 PE-A_q95,93136.72265625
B7 PE-A_max,41613600.0
B7 PE-A_entropy,6.848983806588805
B7 PE-A_num_outliers,14611.0
B7 PE-A_num_modes,28.0
CD38 PC7-A_mean,119128.6484375
CD38 PC7-A_median,50017.3515625
CD38 PC7-A_mode,22131.80078125
CD38 PC7-A_std,282638.34375
CD38 PC7-A_var,79884435456.0
CD38 PC7-A_range,47760296.0
CD38 PC7-A_iqr,106176.2734375
CD38 PC7-A_cv,2.372547149658203
CD38 PC7-A_skew,59.885721445063766
CD38 PC7-A_kurtosis,7599.153765430053
CD38 PC7-A_min,21998.599609375
CD38 PC7-A_q05,23513.5498046875
CD38 PC7-A_q25,31065.5
CD38 PC7-A_q75,137241.7734375
CD38 PC7-A_q95,400070.796875
CD38 PC7-A_max,47782296.0
CD38 PC7-A_entropy,6.261895745365342
CD38 PC7-A_num_outliers,12554.0
CD38 PC7-A_num_modes,20.0
CD8 APC-A_mean,20864.2578125
CD8 APC-A_median,6645.4501953125
CD8 APC-A_mode,3424.60009765625
CD8 APC-A_std,100972.4375
CD8 APC-A_var,10195432448.0
CD8 APC-A_range,8681660.0
CD8 APC-A_iqr,7686.92529296875
CD8 APC-A_cv,4.839493274688721
CD8 APC-A_skew,21.885921135723887
CD8 APC-A_kurtosis,1136.9029820468484
CD8 APC-A_min,2483.199951171875
CD8 APC-A_q05,2868.4749755859375
CD8 APC-A_q25,4314.0
CD8 APC-A_q75,12000.92529296875
CD8 APC-A_q95,43667.67578125
CD8 APC-A_max,8684143.0
CD8 APC-A_entropy,5.139723432114406
CD8 APC-A_num_outliers,15948.0
CD8 APC-A_num_modes,20.0
