,0
FSC-A_mean,6086267.5
FSC-A_median,4538043.0
FSC-A_mode,3628420.0
FSC-A_std,3763455.75
FSC-A_var,14163598376960.0
FSC-A_range,103548936.0
FSC-A_iqr,3117660.75
FSC-A_cv,0.6183519959449768
FSC-A_skew,4.444263919196418
FSC-A_kurtosis,43.59499296360314
FSC-A_min,3272531.75
FSC-A_q05,3533154.25
FSC-A_q25,3868623.5
FSC-A_q75,6986284.25
FSC-A_q95,12637271.5
FSC-A_max,106821464.0
FSC-A_entropy,5.994081581317036
FSC-A_num_outliers,11525.0
FSC-A_num_modes,27.0
SSC-A_mean,6707040.0
SSC-A_median,5036095.0
SSC-A_mode,3959476.0
SSC-A_std,5081672.0
SSC-A_var,25823390203904.0
SSC-A_range,119573184.0
SSC-A_iqr,3185619.875
SSC-A_cv,0.7576624155044556
SSC-A_skew,4.6152145887875875
SSC-A_kurtosis,36.11229815913697
SSC-A_min,2809534.0
SSC-A_q05,3330604.25
SSC-A_q25,4099519.875
SSC-A_q75,7285139.75
SSC-A_q95,15377709.0
SSC-A_max,122382720.0
SSC-A_entropy,6.3028642901823915
SSC-A_num_outliers,16172.0
SSC-A_num_modes,26.0
CD103 FITC-A_mean,22207.490234375
CD103 FITC-A_median,10624.2001953125
CD103 FITC-A_mode,5603.2998046875
CD103 FITC-A_std,172977.65625
CD103 FITC-A_var,29921271808.0
CD103 FITC-A_range,59065264.0
CD103 FITC-A_iqr,16808.74951171875
CD103 FITC-A_cv,7.789158344268799
CD103 FITC-A_skew,235.65419937057362
CD103 FITC-A_kurtosis,75254.30454974266
CD103 FITC-A_min,4501.7001953125
CD103 FITC-A_q05,5158.5
CD103 FITC-A_q25,6284.60009765625
CD103 FITC-A_q75,23093.349609375
CD103 FITC-A_q95,63149.099609375
CD103 FITC-A_max,59069764.0
CD103 FITC-A_entropy,7.481191623836234
CD103 FITC-A_num_outliers,15521.0
CD103 FITC-A_num_modes,14.0
B7 PE-A_mean,35247.5703125
B7 PE-A_median,13337.5
B7 PE-A_mode,6741.7001953125
B7 PE-A_std,284106.9375
B7 PE-A_var,80716750848.0
B7 PE-A_range,62266680.0
B7 PE-A_iqr,31626.40087890625
B7 PE-A_cv,8.06032657623291
B7 PE-A_skew,133.1931279075402
B7 PE-A_kurtosis,23142.127515349643
B7 PE-A_min,6418.2001953125
B7 PE-A_q05,6667.2001953125
B7 PE-A_q25,7771.89990234375
B7 PE-A_q75,39398.30078125
B7 PE-A_q95,105663.953125
B7 PE-A_max,62273100.0
B7 PE-A_entropy,7.1580553375924705
B7 PE-A_num_outliers,13744.0
B7 PE-A_num_modes,23.0
CD38 PC7-A_mean,117851.9140625
CD38 PC7-A_median,37253.3984375
CD38 PC7-A_mode,22316.19921875
CD38 PC7-A_std,253230.453125
CD38 PC7-A_var,64125665280.0
CD38 PC7-A_range,41408232.0
CD38 PC7-A_iqr,83651.2001953125
CD38 PC7-A_cv,2.1487174034118652
CD38 PC7-A_skew,42.553814181184244
CD38 PC7-A_kurtosis,5441.93975022851
CD38 PC7-A_min,21998.80078125
CD38 PC7-A_q05,22986.650390625
CD38 PC7-A_q25,27501.8505859375
CD38 PC7-A_q75,111153.05078125
CD38 PC7-A_q95,461621.4375
CD38 PC7-A_max,41430232.0
CD38 PC7-A_entropy,6.108839123730261
CD38 PC7-A_num_outliers,27323.0
CD38 PC7-A_num_modes,19.0
CD8 APC-A_mean,33797.328125
CD8 APC-A_median,4999.2998046875
CD8 APC-A_mode,2579.5
CD8 APC-A_std,138657.578125
CD8 APC-A_var,19225923584.0
CD8 APC-A_range,9118560.0
CD8 APC-A_iqr,6864.100341796875
CD8 APC-A_cv,4.102619647979736
CD8 APC-A_skew,10.726832057100683
CD8 APC-A_kurtosis,287.41182754853577
CD8 APC-A_min,2483.199951171875
CD8 APC-A_q05,2640.89990234375
CD8 APC-A_q25,3319.199951171875
CD8 APC-A_q75,10183.30029296875
CD8 APC-A_q95,120901.05078125
CD8 APC-A_max,9121043.0
CD8 APC-A_entropy,5.255186510126858
CD8 APC-A_num_outliers,25483.0
CD8 APC-A_num_modes,27.0
