,0
FSC-A_mean,5080568.5
FSC-A_median,4210405.0
FSC-A_mode,3084246.0
FSC-A_std,3345424.5
FSC-A_var,11191865835520.0
FSC-A_range,105251040.0
FSC-A_iqr,1800614.0
FSC-A_cv,0.6584744453430176
FSC-A_skew,7.284253220644934
FSC-A_kurtosis,91.70371774857797
FSC-A_min,3055188.0
FSC-A_q05,3189412.85
FSC-A_q25,3664638.0
FSC-A_q75,5465252.0
FSC-A_q95,8198747.999999999
FSC-A_max,108306232.0
FSC-A_entropy,6.090287333073326
FSC-A_num_outliers,3024.0
FSC-A_num_modes,29.0
SSC-A_mean,5608434.0
SSC-A_median,4447578.0
SSC-A_mode,2420092.75
SSC-A_std,5853844.5
SSC-A_var,34267497234432.0
SSC-A_range,136973008.0
SSC-A_iqr,1802049.5
SSC-A_cv,1.043757438659668
SSC-A_skew,6.102716205795157
SSC-A_kurtosis,46.108456386426596
SSC-A_min,2178261.25
SSC-A_q05,2675663.8000000003
SSC-A_q25,3649201.5
SSC-A_q75,5451251.0
SSC-A_q95,9330252.399999985
SSC-A_max,139151264.0
SSC-A_entropy,6.559691402845334
SSC-A_num_outliers,4128.0
SSC-A_num_modes,20.0
CD103 FITC-A_mean,278522.875
CD103 FITC-A_median,53120.8984375
CD103 FITC-A_mode,8850.400390625
CD103 FITC-A_std,1185255.375
CD103 FITC-A_var,1404830351360.0
CD103 FITC-A_range,87820272.0
CD103 FITC-A_iqr,189108.796875
CD103 FITC-A_cv,4.255504608154297
CD103 FITC-A_skew,18.40535902211194
CD103 FITC-A_kurtosis,739.7316984114342
CD103 FITC-A_min,5222.39990234375
CD103 FITC-A_q05,7229.0599609375
CD103 FITC-A_q25,14843.5
CD103 FITC-A_q75,203952.296875
CD103 FITC-A_q95,801048.8249999973
CD103 FITC-A_max,87825496.0
CD103 FITC-A_entropy,6.77504602887855
CD103 FITC-A_num_outliers,4907.0
CD103 FITC-A_num_modes,23.0
B7 PE-A_mean,207830.953125
B7 PE-A_median,67124.0
B7 PE-A_mode,9913.0
B7 PE-A_std,927097.75
B7 PE-A_var,859510276096.0
B7 PE-A_range,86573584.0
B7 PE-A_iqr,121672.59765625
B7 PE-A_cv,4.4608259201049805
B7 PE-A_skew,29.27921477844955
B7 PE-A_kurtosis,1769.1220739121113
B7 PE-A_min,9119.0
B7 PE-A_q05,10510.359765625
B7 PE-A_q25,25280.69921875
B7 PE-A_q75,146953.296875
B7 PE-A_q95,545663.8999999996
B7 PE-A_max,86582704.0
B7 PE-A_entropy,7.157281563404116
B7 PE-A_num_outliers,5168.0
B7 PE-A_num_modes,20.0
CD38 PC7-A_mean,124036.34375
CD38 PC7-A_median,58534.6015625
CD38 PC7-A_mode,29668.69921875
CD38 PC7-A_std,339876.625
CD38 PC7-A_var,115516129280.0
CD38 PC7-A_range,31721954.0
CD38 PC7-A_iqr,70776.3984375
CD38 PC7-A_cv,2.7401373386383057
CD38 PC7-A_skew,36.979828151811944
CD38 PC7-A_kurtosis,2589.5693631668805
CD38 PC7-A_min,25714.19921875
CD38 PC7-A_q05,27625.040234375
CD38 PC7-A_q25,37234.1015625
CD38 PC7-A_q75,108010.5
CD38 PC7-A_q95,389357.64999999903
CD38 PC7-A_max,31747668.0
CD38 PC7-A_entropy,5.705128180594152
CD38 PC7-A_num_outliers,6012.0
CD38 PC7-A_num_modes,13.0
CD8 APC-A_mean,111699.796875
CD8 APC-A_median,3058.0
CD8 APC-A_mode,1520.5
CD8 APC-A_std,346503.15625
CD8 APC-A_var,120064442368.0
CD8 APC-A_range,11185377.0
CD8 APC-A_iqr,9038.399780273438
CD8 APC-A_cv,3.102092981338501
CD8 APC-A_skew,6.9774707491902435
CD8 APC-A_kurtosis,104.61259760725999
CD8 APC-A_min,1170.300048828125
CD8 APC-A_q05,1285.5999755859375
CD8 APC-A_q25,1851.9000244140625
CD8 APC-A_q75,10890.2998046875
CD8 APC-A_q95,870930.374999998
CD8 APC-A_max,11186547.0
CD8 APC-A_entropy,5.019776712722477
CD8 APC-A_num_outliers,12168.0
CD8 APC-A_num_modes,30.0
