,0
FSC-A_mean,3216281.5
FSC-A_median,3068220.5
FSC-A_mode,2240329.5
FSC-A_std,645895.8125
FSC-A_var,417181368320.0
FSC-A_range,3831654.5
FSC-A_iqr,643864.375
FSC-A_cv,0.2008206695318222
FSC-A_skew,1.2426648681120869
FSC-A_kurtosis,1.6235655760393763
FSC-A_min,2240329.5
FSC-A_q05,2412248.25
FSC-A_q25,2803137.6875
FSC-A_q75,3447002.0625
FSC-A_q95,4515450.875
FSC-A_max,6071984.0
FSC-A_entropy,2.7750522360905916
FSC-A_num_outliers,45.0
FSC-A_num_modes,2.0
SSC-A_mean,991265.4375
SSC-A_median,940796.3125
SSC-A_mode,607768.6875
SSC-A_std,299106.90625
SSC-A_var,89464946688.0
SSC-A_range,1656029.75
SSC-A_iqr,358962.796875
SSC-A_cv,0.3017424941062927
SSC-A_skew,1.4226196715236912
SSC-A_kurtosis,2.6961443536225085
SSC-A_min,607768.6875
SSC-A_q05,641437.015625
SSC-A_q25,765641.515625
SSC-A_q75,1124604.3125
SSC-A_q95,1542203.375
SSC-A_max,2263798.5
SSC-A_entropy,2.5308672297452466
SSC-A_num_outliers,27.0
SSC-A_num_modes,2.0
CD103 FITC-A_mean,54608.36328125
CD103 FITC-A_median,9076.099609375
CD103 FITC-A_mode,3816.5
CD103 FITC-A_std,595574.6875
CD103 FITC-A_var,354709241856.0
CD103 FITC-A_range,15758316.0
CD103 FITC-A_iqr,6228.100341796875
CD103 FITC-A_cv,10.906291007995605
CD103 FITC-A_skew,24.76203372573219
CD103 FITC-A_kurtosis,647.4902630325023
CD103 FITC-A_min,3269.39990234375
CD103 FITC-A_q05,3614.574951171875
CD103 FITC-A_q25,5365.5498046875
CD103 FITC-A_q75,11593.650146484375
CD103 FITC-A_q95,37962.7998046875
CD103 FITC-A_max,15761585.0
CD103 FITC-A_entropy,3.887718627190265
CD103 FITC-A_num_outliers,60.0
CD103 FITC-A_num_modes,1.0
B7 PE-A_mean,39760.046875
B7 PE-A_median,11128.2001953125
B7 PE-A_mode,8131.2001953125
B7 PE-A_std,206971.5
B7 PE-A_var,42837200896.0
B7 PE-A_range,5301750.0
B7 PE-A_iqr,15493.2744140625
B7 PE-A_cv,5.205514430999756
B7 PE-A_skew,22.42501218990508
B7 PE-A_kurtosis,562.6180431826263
B7 PE-A_min,8001.0
B7 PE-A_q05,8166.3751220703125
B7 PE-A_q25,8867.72509765625
B7 PE-A_q75,24360.99951171875
B7 PE-A_q95,108930.42578125
B7 PE-A_max,5309751.0
B7 PE-A_entropy,2.623109084484555
B7 PE-A_num_outliers,87.0
B7 PE-A_num_modes,2.0
CD38 PC7-A_mean,259391.234375
CD38 PC7-A_median,187349.90625
CD38 PC7-A_mode,174895.59375
CD38 PC7-A_std,192618.984375
CD38 PC7-A_var,37102075904.0
CD38 PC7-A_range,1332903.375
CD38 PC7-A_iqr,167434.15234375
CD38 PC7-A_cv,0.7425809502601624
CD38 PC7-A_skew,2.450315434727256
CD38 PC7-A_kurtosis,7.724753014742946
CD38 PC7-A_min,82438.6015625
CD38 PC7-A_q05,102396.82421875
CD38 PC7-A_q25,141306.92578125
CD38 PC7-A_q75,308741.078125
CD38 PC7-A_q95,630048.875
CD38 PC7-A_max,1415342.0
CD38 PC7-A_entropy,2.5528724580559543
CD38 PC7-A_num_outliers,52.0
CD38 PC7-A_num_modes,2.0
CD8 APC-A_mean,188951.875
CD8 APC-A_median,19142.1015625
CD8 APC-A_mode,12463.2001953125
CD8 APC-A_std,582915.125
CD8 APC-A_var,339790069760.0
CD8 APC-A_range,13058731.0
CD8 APC-A_iqr,45567.72412109375
CD8 APC-A_cv,3.0849926471710205
CD8 APC-A_skew,14.938594021648818
CD8 APC-A_kurtosis,318.43296336655055
CD8 APC-A_min,11711.2998046875
CD8 APC-A_q05,12041.225341796875
CD8 APC-A_q25,13791.60009765625
CD8 APC-A_q75,59359.32421875
CD8 APC-A_q95,991315.25
CD8 APC-A_max,13070442.0
CD8 APC-A_entropy,3.1439143363761186
CD8 APC-A_num_outliers,155.0
CD8 APC-A_num_modes,2.0
