,0
FSC-A_mean,3659323.75
FSC-A_median,3500302.0
FSC-A_mode,3222038.5
FSC-A_std,1309912.25
FSC-A_var,1715870236672.0
FSC-A_range,96201008.0
FSC-A_iqr,577169.75
FSC-A_cv,0.3579656481742859
FSC-A_skew,14.78884321259541
FSC-A_kurtosis,496.57572273877173
FSC-A_min,2077441.875
FSC-A_q05,2573948.35
FSC-A_q25,3214980.25
FSC-A_q75,3792150.0
FSC-A_q95,5401156.8999999985
FSC-A_max,98278448.0
FSC-A_entropy,7.537044770458878
FSC-A_num_outliers,48978.0
FSC-A_num_modes,44.0
SSC-A_mean,3388912.25
SSC-A_median,3235580.0
SSC-A_mode,3542298.0
SSC-A_std,2399302.25
SSC-A_var,5756651831296.0
SSC-A_range,107248120.0
SSC-A_iqr,1741524.0
SSC-A_cv,0.7079859375953674
SSC-A_skew,8.380198158397349
SSC-A_kurtosis,141.6029543559244
SSC-A_min,625121.125
SSC-A_q05,917448.5
SSC-A_q25,2387145.5
SSC-A_q75,4128669.5
SSC-A_q95,6335917.3
SSC-A_max,107873240.0
SSC-A_entropy,6.9400109787143345
SSC-A_num_outliers,18687.0
SSC-A_num_modes,33.0
CD103 FITC-A_mean,17121.744140625
CD103 FITC-A_median,5177.2998046875
CD103 FITC-A_mode,4268.10009765625
CD103 FITC-A_std,110048.1875
CD103 FITC-A_var,12110604288.0
CD103 FITC-A_range,11212244.0
CD103 FITC-A_iqr,3661.19970703125
CD103 FITC-A_cv,6.427393436431885
CD103 FITC-A_skew,20.70703814287853
CD103 FITC-A_kurtosis,808.5927144652815
CD103 FITC-A_min,2922.89990234375
CD103 FITC-A_q05,3515.10009765625
CD103 FITC-A_q25,4297.10009765625
CD103 FITC-A_q75,7958.2998046875
CD103 FITC-A_q95,17950.26015624999
CD103 FITC-A_max,11215167.0
CD103 FITC-A_entropy,5.813103947231169
CD103 FITC-A_num_outliers,40664.0
CD103 FITC-A_num_modes,36.0
B7 PE-A_mean,17443.076171875
B7 PE-A_median,6341.5
B7 PE-A_mode,5914.2998046875
B7 PE-A_std,94988.984375
B7 PE-A_var,9022907392.0
B7 PE-A_range,44145056.0
B7 PE-A_iqr,2863.5
B7 PE-A_cv,5.445655345916748
B7 PE-A_skew,209.72697243594376
B7 PE-A_kurtosis,91499.49188385507
B7 PE-A_min,4497.2001953125
B7 PE-A_q05,4695.2998046875
B7 PE-A_q25,5400.5
B7 PE-A_q75,8264.0
B7 PE-A_q95,53106.0609375
B7 PE-A_max,44149552.0
B7 PE-A_entropy,8.272042663762491
B7 PE-A_num_outliers,82078.0
B7 PE-A_num_modes,8.0
CD38 PC7-A_mean,65668.8984375
CD38 PC7-A_median,26272.69921875
CD38 PC7-A_mode,19078.0
CD38 PC7-A_std,134190.671875
CD38 PC7-A_var,18007138304.0
CD38 PC7-A_range,30211368.0
CD38 PC7-A_iqr,52677.697265625
CD38 PC7-A_cv,2.043443202972412
CD38 PC7-A_skew,57.127478776768235
CD38 PC7-A_kurtosis,9071.06011265785
CD38 PC7-A_min,14087.2001953125
CD38 PC7-A_q05,15638.900390625
CD38 PC7-A_q25,20173.599609375
CD38 PC7-A_q75,72851.296875
CD38 PC7-A_q95,209271.65937499996
CD38 PC7-A_max,30225456.0
CD38 PC7-A_entropy,6.069623736787104
CD38 PC7-A_num_outliers,57915.0
CD38 PC7-A_num_modes,23.0
CD8 APC-A_mean,22319.5703125
CD8 APC-A_median,2879.10009765625
CD8 APC-A_mode,1904.199951171875
CD8 APC-A_std,127201.390625
CD8 APC-A_var,16180193280.0
CD8 APC-A_range,19872470.0
CD8 APC-A_iqr,1964.7998046875
CD8 APC-A_cv,5.6990966796875
CD8 APC-A_skew,18.042877626622815
CD8 APC-A_kurtosis,1440.9318552721916
CD8 APC-A_min,1760.9000244140625
CD8 APC-A_q05,1860.4000244140625
CD8 APC-A_q25,2262.10009765625
CD8 APC-A_q75,4226.89990234375
CD8 APC-A_q95,40108.05859374998
CD8 APC-A_max,19874230.0
CD8 APC-A_entropy,6.770940094218936
CD8 APC-A_num_outliers,57779.0
CD8 APC-A_num_modes,14.0
