,0
FSC-A_mean,12098553.0
FSC-A_median,9712101.0
FSC-A_mode,1632645.25
FSC-A_std,9374526.0
FSC-A_var,87881741762560.0
FSC-A_range,107911536.0
FSC-A_iqr,6934425.25
FSC-A_cv,0.7748468518257141
FSC-A_skew,3.017072602780809
FSC-A_kurtosis,14.57839536000375
FSC-A_min,231877.5
FSC-A_q05,2282868.7
FSC-A_q25,7293596.75
FSC-A_q75,14228022.0
FSC-A_q95,28887259.199999977
FSC-A_max,108143416.0
FSC-A_entropy,5.474477431717183
FSC-A_num_outliers,6310.0
FSC-A_num_modes,8.0
SSC-A_mean,14145445.0
SSC-A_median,9842133.0
SSC-A_mode,8400707.0
SSC-A_std,14186918.0
SSC-A_var,201268643495936.0
SSC-A_range,163019616.0
SSC-A_iqr,9973411.0
SSC-A_cv,1.0029319524765015
SSC-A_skew,3.2390719278153
SSC-A_kurtosis,15.552889166503594
SSC-A_min,65364.30078125
SSC-A_q05,1740251.6500000001
SSC-A_q25,6565812.0
SSC-A_q75,16539223.0
SSC-A_q95,40718401.99999998
SSC-A_max,163084976.0
SSC-A_entropy,5.616098427509247
SSC-A_num_outliers,7260.0
SSC-A_num_modes,13.0
CD103 FITC-A_mean,62764.21875
CD103 FITC-A_median,32572.099609375
CD103 FITC-A_mode,37226.69921875
CD103 FITC-A_std,241639.15625
CD103 FITC-A_var,58389483520.0
CD103 FITC-A_range,32517788.0
CD103 FITC-A_iqr,38737.2490234375
CD103 FITC-A_cv,3.8499507904052734
CD103 FITC-A_skew,61.54441144726405
CD103 FITC-A_kurtosis,5844.6145027147295
CD103 FITC-A_min,7793.10009765625
CD103 FITC-A_q05,14832.89033203125
CD103 FITC-A_q25,21592.6005859375
CD103 FITC-A_q75,60329.849609375
CD103 FITC-A_q95,173831.30624999988
CD103 FITC-A_max,32525582.0
CD103 FITC-A_entropy,6.076983668125323
CD103 FITC-A_num_outliers,7881.0
CD103 FITC-A_num_modes,21.0
B7 PE-A_mean,65584.3984375
B7 PE-A_median,37023.19921875
B7 PE-A_mode,19984.30078125
B7 PE-A_std,196440.65625
B7 PE-A_var,38588932096.0
B7 PE-A_range,33031974.0
B7 PE-A_iqr,42689.048828125
B7 PE-A_cv,2.995234489440918
B7 PE-A_skew,84.7088773549919
B7 PE-A_kurtosis,11466.900490597784
B7 PE-A_min,18104.80078125
B7 PE-A_q05,19191.5
B7 PE-A_q25,24728.849609375
B7 PE-A_q75,67417.8984375
B7 PE-A_q95,183621.40312499984
B7 PE-A_max,33050078.0
B7 PE-A_entropy,5.951113135433178
B7 PE-A_num_outliers,7616.0
B7 PE-A_num_modes,16.0
CD38 PC7-A_mean,189518.578125
CD38 PC7-A_median,106001.796875
CD38 PC7-A_mode,25459.5
CD38 PC7-A_std,265423.59375
CD38 PC7-A_var,70449684480.0
CD38 PC7-A_range,11059681.0
CD38 PC7-A_iqr,154568.447265625
CD38 PC7-A_cv,1.4005149602890015
CD38 PC7-A_skew,7.204051334652423
CD38 PC7-A_kurtosis,127.74007410533028
CD38 PC7-A_min,24737.19921875
CD38 PC7-A_q05,31587.509375
CD38 PC7-A_q25,61508.849609375
CD38 PC7-A_q75,216077.296875
CD38 PC7-A_q95,602268.7312499998
CD38 PC7-A_max,11084418.0
CD38 PC7-A_entropy,4.659292552542827
CD38 PC7-A_num_outliers,7171.0
CD38 PC7-A_num_modes,24.0
CD8 APC-A_mean,46112.38671875
CD8 APC-A_median,4486.7001953125
CD8 APC-A_mode,2457.800048828125
CD8 APC-A_std,162891.9375
CD8 APC-A_var,26533783552.0
CD8 APC-A_range,6635959.0
CD8 APC-A_iqr,8330.300048828125
CD8 APC-A_cv,3.532498598098755
CD8 APC-A_skew,5.725329561418405
CD8 APC-A_kurtosis,61.81732660681074
CD8 APC-A_min,545.5
CD8 APC-A_q05,1159.4000244140625
CD8 APC-A_q25,2457.199951171875
CD8 APC-A_q75,10787.5
CD8 APC-A_q95,348468.75937499787
CD8 APC-A_max,6636504.5
CD8 APC-A_entropy,4.919506664775058
CD8 APC-A_num_outliers,11542.0
CD8 APC-A_num_modes,10.0
