,0
FSC-A_mean,5051037.5
FSC-A_median,4034116.25
FSC-A_mode,882445.8125
FSC-A_std,3382329.0
FSC-A_var,11440149757952.0
FSC-A_range,67781504.0
FSC-A_iqr,4155727.25
FSC-A_cv,0.6696305274963379
FSC-A_skew,1.8975213134356659
FSC-A_kurtosis,8.973308385598342
FSC-A_min,179060.203125
FSC-A_q05,1324710.6
FSC-A_q25,2641011.25
FSC-A_q75,6796738.5
FSC-A_q95,11224315.799999997
FSC-A_max,67960568.0
FSC-A_entropy,5.3034727397672885
FSC-A_num_outliers,3206.0
FSC-A_num_modes,18.0
SSC-A_mean,4900103.5
SSC-A_median,4189564.0
SSC-A_mode,299200.1875
SSC-A_std,3517695.25
SSC-A_var,12374179315712.0
SSC-A_range,97089064.0
SSC-A_iqr,3151494.25
SSC-A_cv,0.7178817987442017
SSC-A_skew,2.8531425112370568
SSC-A_kurtosis,26.380328000616426
SSC-A_min,95031.796875
SSC-A_q05,444968.0687500001
SSC-A_q25,3069729.75
SSC-A_q75,6221224.0
SSC-A_q95,11061008.599999988
SSC-A_max,97184096.0
SSC-A_entropy,5.9735027724334255
SSC-A_num_outliers,6097.0
SSC-A_num_modes,23.0
CD103 FITC-A_mean,64275.76171875
CD103 FITC-A_median,27836.400390625
CD103 FITC-A_mode,14160.400390625
CD103 FITC-A_std,368640.59375
CD103 FITC-A_var,135895891968.0
CD103 FITC-A_range,33779772.0
CD103 FITC-A_iqr,25546.0
CD103 FITC-A_cv,5.735297203063965
CD103 FITC-A_skew,37.14009189721539
CD103 FITC-A_kurtosis,2037.0158121891716
CD103 FITC-A_min,7682.10009765625
CD103 FITC-A_q05,11620.419921875
CD103 FITC-A_q25,18766.19921875
CD103 FITC-A_q75,44312.19921875
CD103 FITC-A_q95,154522.2374999999
CD103 FITC-A_max,33787456.0
CD103 FITC-A_entropy,6.5019065914997
CD103 FITC-A_num_outliers,12464.0
CD103 FITC-A_num_modes,33.0
B7 PE-A_mean,58756.46484375
B7 PE-A_median,29403.30078125
B7 PE-A_mode,19818.099609375
B7 PE-A_std,326599.34375
B7 PE-A_var,106667122688.0
B7 PE-A_range,34110792.0
B7 PE-A_iqr,27273.400390625
B7 PE-A_cv,5.558526039123535
B7 PE-A_skew,57.13967143247921
B7 PE-A_kurtosis,4428.117489776558
B7 PE-A_min,15774.900390625
B7 PE-A_q05,16530.599609375
B7 PE-A_q25,20736.099609375
B7 PE-A_q75,48009.5
B7 PE-A_q95,134812.98124999987
B7 PE-A_max,34126568.0
B7 PE-A_entropy,6.296395171036573
B7 PE-A_num_outliers,10373.0
B7 PE-A_num_modes,29.0
CD38 PC7-A_mean,130462.8203125
CD38 PC7-A_median,51267.19921875
CD38 PC7-A_mode,14461.2001953125
CD38 PC7-A_std,247703.328125
CD38 PC7-A_var,61356941312.0
CD38 PC7-A_range,39564052.0
CD38 PC7-A_iqr,123149.296875
CD38 PC7-A_cv,1.8986507654190063
CD38 PC7-A_skew,41.69066956501497
CD38 PC7-A_kurtosis,5672.29691265099
CD38 PC7-A_min,5195.0
CD38 PC7-A_q05,13766.9798828125
CD38 PC7-A_q25,27918.0
CD38 PC7-A_q75,151067.296875
CD38 PC7-A_q95,496723.57499999995
CD38 PC7-A_max,39569248.0
CD38 PC7-A_entropy,5.974298774137241
CD38 PC7-A_num_outliers,11205.0
CD38 PC7-A_num_modes,15.0
CD8 APC-A_mean,66423.8515625
CD8 APC-A_median,1897.300048828125
CD8 APC-A_mode,1047.699951171875
CD8 APC-A_std,183463.96875
CD8 APC-A_var,33659029504.0
CD8 APC-A_range,29847180.0
CD8 APC-A_iqr,5590.500244140625
CD8 APC-A_cv,2.762019395828247
CD8 APC-A_skew,38.38630553664786
CD8 APC-A_kurtosis,5890.572050835697
CD8 APC-A_min,706.7999877929688
CD8 APC-A_q05,793.5999755859375
CD8 APC-A_q25,1154.199951171875
CD8 APC-A_q75,6744.7001953125
CD8 APC-A_q95,446594.9187499999
CD8 APC-A_max,29847886.0
CD8 APC-A_entropy,6.637114910052606
CD8 APC-A_num_outliers,24962.0
CD8 APC-A_num_modes,3.0
