,0
FSC-A_mean,4737035.0
FSC-A_median,3993084.0
FSC-A_mode,3055188.5
FSC-A_std,2758727.25
FSC-A_var,7610576142336.0
FSC-A_range,101312536.0
FSC-A_iqr,2137667.4375
FSC-A_cv,0.5823742747306824
FSC-A_skew,7.391234433181874
FSC-A_kurtosis,148.46191475277615
FSC-A_min,177557.796875
FSC-A_q05,2161252.4125
FSC-A_q25,3411965.6875
FSC-A_q75,5549633.125
FSC-A_q95,8886166.049999999
FSC-A_max,101490096.0
FSC-A_entropy,5.735706316915936
FSC-A_num_outliers,1370.0
FSC-A_num_modes,20.0
SSC-A_mean,4677367.5
SSC-A_median,4041400.75
SSC-A_mode,3433551.5
SSC-A_std,3947447.25
SSC-A_var,15582339530752.0
SSC-A_range,94048728.0
SSC-A_iqr,2137905.9375
SSC-A_cv,0.8439463376998901
SSC-A_skew,6.1865806545376545
SSC-A_kurtosis,73.12456381116196
SSC-A_min,106153.6015625
SSC-A_q05,643182.925
SSC-A_q25,3111795.5625
SSC-A_q75,5249701.5
SSC-A_q95,10130193.999999998
SSC-A_max,94154880.0
SSC-A_entropy,5.739262172621931
SSC-A_num_outliers,2077.0
SSC-A_num_modes,22.0
CD103 FITC-A_mean,1052101.25
CD103 FITC-A_median,799675.625
CD103 FITC-A_mode,17888.19921875
CD103 FITC-A_std,1559562.625
CD103 FITC-A_var,2432235470848.0
CD103 FITC-A_range,56221792.0
CD103 FITC-A_iqr,1083888.00390625
CD103 FITC-A_cv,1.4823312759399414
CD103 FITC-A_skew,8.715852783606941
CD103 FITC-A_kurtosis,165.79409863290977
CD103 FITC-A_min,15606.2001953125
CD103 FITC-A_q05,24598.6197265625
CD103 FITC-A_q25,174341.27734375
CD103 FITC-A_q75,1258229.28125
CD103 FITC-A_q95,3243985.812499998
CD103 FITC-A_max,56237400.0
CD103 FITC-A_entropy,5.135434808958391
CD103 FITC-A_num_outliers,1664.0
CD103 FITC-A_num_modes,25.0
B7 PE-A_mean,574398.25
B7 PE-A_median,338363.65625
B7 PE-A_mode,64320.3984375
B7 PE-A_std,1040481.5
B7 PE-A_var,1082601701376.0
B7 PE-A_range,54606476.0
B7 PE-A_iqr,386537.8046875
B7 PE-A_cv,1.8114287853240967
B7 PE-A_skew,17.434210632236955
B7 PE-A_kurtosis,605.3004421601147
B7 PE-A_min,63725.5
B7 PE-A_q05,77638.6234375
B7 PE-A_q25,218553.3984375
B7 PE-A_q75,605091.203125
B7 PE-A_q95,1625060.8124999986
B7 PE-A_max,54670200.0
B7 PE-A_entropy,5.717245903148788
B7 PE-A_num_outliers,2197.0
B7 PE-A_num_modes,20.0
CD38 PC7-A_mean,358038.8125
CD38 PC7-A_median,211266.5
CD38 PC7-A_mode,114073.0
CD38 PC7-A_std,428645.09375
CD38 PC7-A_var,183736614912.0
CD38 PC7-A_range,22030748.0
CD38 PC7-A_iqr,243209.640625
CD38 PC7-A_cv,1.1972029209136963
CD38 PC7-A_skew,8.882069106728368
CD38 PC7-A_kurtosis,287.0250465076803
CD38 PC7-A_min,114020.296875
CD38 PC7-A_q05,119107.784765625
CD38 PC7-A_q25,146587.1015625
CD38 PC7-A_q75,389796.7421875
CD38 PC7-A_q95,1091149.4624999994
CD38 PC7-A_max,22144768.0
CD38 PC7-A_entropy,4.5957047545993825
CD38 PC7-A_num_outliers,2469.0
CD38 PC7-A_num_modes,11.0
CD8 APC-A_mean,136688.9375
CD8 APC-A_median,8370.5
CD8 APC-A_mode,2513.60009765625
CD8 APC-A_std,362061.21875
CD8 APC-A_var,131088318464.0
CD8 APC-A_range,5538920.5
CD8 APC-A_iqr,35288.701110839844
CD8 APC-A_cv,2.648796796798706
CD8 APC-A_skew,3.643879422678897
CD8 APC-A_kurtosis,16.890877322722716
CD8 APC-A_min,989.0
CD8 APC-A_q05,1913.0
CD8 APC-A_q25,3933.8750610351562
CD8 APC-A_q75,39222.576171875
CD8 APC-A_q95,1057619.1124999993
CD8 APC-A_max,5539909.5
CD8 APC-A_entropy,3.9911892161108624
CD8 APC-A_num_outliers,4147.0
CD8 APC-A_num_modes,11.0
