,0
FSC-A_mean,5581869.0
FSC-A_median,4363589.0
FSC-A_mode,1160306.0
FSC-A_std,3921854.75
FSC-A_var,15380944781312.0
FSC-A_range,51344416.0
FSC-A_iqr,4378527.75
FSC-A_cv,0.7026060223579407
FSC-A_skew,1.8234401168834042
FSC-A_kurtosis,5.687015680486466
FSC-A_min,233510.09375
FSC-A_q05,1355242.6875
FSC-A_q25,2947718.375
FSC-A_q75,7326246.125
FSC-A_q95,13130599.699999996
FSC-A_max,51577928.0
FSC-A_entropy,4.867347866863285
FSC-A_num_outliers,2693.0
FSC-A_num_modes,13.0
SSC-A_mean,5888365.0
SSC-A_median,4828713.0
SSC-A_mode,437220.59375
SSC-A_std,4574644.0
SSC-A_var,20927368658944.0
SSC-A_range,92830896.0
SSC-A_iqr,4793667.875
SSC-A_cv,0.7768954634666443
SSC-A_skew,2.4242593173929823
SSC-A_kurtosis,13.856204587977363
SSC-A_min,91530.8984375
SSC-A_q05,854806.8906250001
SSC-A_q25,2981857.375
SSC-A_q75,7775525.25
SSC-A_q95,14090406.649999997
SSC-A_max,92922424.0
SSC-A_entropy,5.435306712690497
SSC-A_num_outliers,2713.0
SSC-A_num_modes,17.0
CD103 FITC-A_mean,222301.421875
CD103 FITC-A_median,46922.203125
CD103 FITC-A_mode,24186.0
CD103 FITC-A_std,895739.375
CD103 FITC-A_var,802349056000.0
CD103 FITC-A_range,46128796.0
CD103 FITC-A_iqr,64194.62646484375
CD103 FITC-A_cv,4.029391288757324
CD103 FITC-A_skew,19.54245456381186
CD103 FITC-A_kurtosis,576.2330322742706
CD103 FITC-A_min,7171.7998046875
CD103 FITC-A_q05,11178.534863281253
CD103 FITC-A_q25,28126.04931640625
CD103 FITC-A_q75,92320.67578125
CD103 FITC-A_q95,1107685.6437499998
CD103 FITC-A_max,46135968.0
CD103 FITC-A_entropy,6.614281529116035
CD103 FITC-A_num_outliers,10229.0
CD103 FITC-A_num_modes,37.0
B7 PE-A_mean,139473.5
B7 PE-A_median,44275.6484375
B7 PE-A_mode,22796.900390625
B7 PE-A_std,478938.9375
B7 PE-A_var,229382504448.0
B7 PE-A_range,43955064.0
B7 PE-A_iqr,57375.80322265625
B7 PE-A_cv,3.433906316757202
B7 PE-A_skew,32.84951311360911
B7 PE-A_kurtosis,1945.071537392503
B7 PE-A_min,22762.19921875
B7 PE-A_q05,24000.97578125
B7 PE-A_q25,30234.02490234375
B7 PE-A_q75,87609.828125
B7 PE-A_q95,597468.043749999
B7 PE-A_max,43977828.0
B7 PE-A_entropy,6.342657366392535
B7 PE-A_num_outliers,9716.0
B7 PE-A_num_modes,25.0
CD38 PC7-A_mean,181080.125
CD38 PC7-A_median,97621.0
CD38 PC7-A_mode,33275.30078125
CD38 PC7-A_std,224104.5
CD38 PC7-A_var,50222829568.0
CD38 PC7-A_range,8767564.0
CD38 PC7-A_iqr,198561.0732421875
CD38 PC7-A_cv,1.2375985383987427
CD38 PC7-A_skew,5.870822442722631
CD38 PC7-A_kurtosis,99.65265488335523
CD38 PC7-A_min,27482.19921875
CD38 PC7-A_q05,30130.965234375002
CD38 PC7-A_q25,46116.2509765625
CD38 PC7-A_q75,244677.32421875
CD38 PC7-A_q95,564519.6124999999
CD38 PC7-A_max,8795046.0
CD38 PC7-A_entropy,4.115271205782919
CD38 PC7-A_num_outliers,3778.0
CD38 PC7-A_num_modes,23.0
CD8 APC-A_mean,89984.1171875
CD8 APC-A_median,5123.35009765625
CD8 APC-A_mode,960.2000122070312
CD8 APC-A_std,303838.375
CD8 APC-A_var,92317753344.0
CD8 APC-A_range,28752570.0
CD8 APC-A_iqr,20466.87582397461
CD8 APC-A_cv,3.376577854156494
CD8 APC-A_skew,31.191964843876253
CD8 APC-A_kurtosis,2562.302180581439
CD8 APC-A_min,354.29998779296875
CD8 APC-A_q05,603.7350036621094
CD8 APC-A_q25,1650.1749572753906
CD8 APC-A_q75,22117.05078125
CD8 APC-A_q95,702707.7374999984
CD8 APC-A_max,28752924.0
CD8 APC-A_entropy,5.86958830834404
CD8 APC-A_num_outliers,10620.0
CD8 APC-A_num_modes,7.0
