,0
FSC-A_mean,15572556.0
FSC-A_median,13806978.0
FSC-A_mode,2722540.0
FSC-A_std,10890466.0
FSC-A_var,118602250321920.0
FSC-A_range,105340200.0
FSC-A_iqr,9543425.5
FSC-A_cv,0.6993370652198792
FSC-A_skew,1.9536288291024344
FSC-A_kurtosis,6.783457085051031
FSC-A_min,228204.296875
FSC-A_q05,1799985.0625
FSC-A_q25,9626801.0
FSC-A_q75,19170226.5
FSC-A_q95,35671238.0
FSC-A_max,105568408.0
FSC-A_entropy,5.042367566944791
FSC-A_num_outliers,2921.0
FSC-A_num_modes,6.0
SSC-A_mean,19303518.0
SSC-A_median,16255232.0
SSC-A_mode,2136821.0
SSC-A_std,16088645.0
SSC-A_var,258844492038144.0
SSC-A_range,152049632.0
SSC-A_iqr,14482329.75
SSC-A_cv,0.8334566354751587
SSC-A_skew,2.16840214053033
SSC-A_kurtosis,7.5903921489287125
SSC-A_min,11721.2998046875
SSC-A_q05,1125476.21875
SSC-A_q25,9677549.75
SSC-A_q75,24159879.5
SSC-A_q95,49717721.0
SSC-A_max,152061360.0
SSC-A_entropy,5.064169871184038
SSC-A_num_outliers,2990.0
SSC-A_num_modes,7.0
CD103 FITC-A_mean,59867.91015625
CD103 FITC-A_median,34290.44921875
CD103 FITC-A_mode,22377.19921875
CD103 FITC-A_std,339418.03125
CD103 FITC-A_var,115204603904.0
CD103 FITC-A_range,28759998.0
CD103 FITC-A_iqr,29792.6728515625
CD103 FITC-A_cv,5.669448375701904
CD103 FITC-A_skew,57.70203221758681
CD103 FITC-A_kurtosis,4029.374533665276
CD103 FITC-A_min,5931.60009765625
CD103 FITC-A_q05,12572.800048828125
CD103 FITC-A_q25,24864.05078125
CD103 FITC-A_q75,54656.7236328125
CD103 FITC-A_q95,139655.3203125
CD103 FITC-A_max,28765930.0
CD103 FITC-A_entropy,5.897445464544637
CD103 FITC-A_num_outliers,4542.0
CD103 FITC-A_num_modes,24.0
B7 PE-A_mean,89415.2109375
B7 PE-A_median,46075.1484375
B7 PE-A_mode,26307.80078125
B7 PE-A_std,500689.5
B7 PE-A_var,250689978368.0
B7 PE-A_range,41587496.0
B7 PE-A_iqr,41301.07421875
B7 PE-A_cv,5.599600791931152
B7 PE-A_skew,48.623513868189335
B7 PE-A_kurtosis,2954.1356880188123
B7 PE-A_min,26104.80078125
B7 PE-A_q05,27306.650390625
B7 PE-A_q25,33409.224609375
B7 PE-A_q75,74710.298828125
B7 PE-A_q95,196148.2734375
B7 PE-A_max,41613600.0
B7 PE-A_entropy,6.199464787701858
B7 PE-A_num_outliers,4430.0
B7 PE-A_num_modes,26.0
CD38 PC7-A_mean,277610.1875
CD38 PC7-A_median,185597.90625
CD38 PC7-A_mode,93728.0
CD38 PC7-A_std,572086.125
CD38 PC7-A_var,327282556928.0
CD38 PC7-A_range,55527232.0
CD38 PC7-A_iqr,216204.33203125
CD38 PC7-A_cv,2.060753345489502
CD38 PC7-A_skew,43.19084119023472
CD38 PC7-A_kurtosis,3249.7057774464174
CD38 PC7-A_min,43325.1015625
CD38 PC7-A_q05,59127.2509765625
CD38 PC7-A_q25,100247.42578125
CD38 PC7-A_q75,316451.7578125
CD38 PC7-A_q95,736420.046875
CD38 PC7-A_max,55570556.0
CD38 PC7-A_entropy,6.125083526518305
CD38 PC7-A_num_outliers,3215.0
CD38 PC7-A_num_modes,21.0
CD8 APC-A_mean,45089.47265625
CD8 APC-A_median,17022.650390625
CD8 APC-A_mode,4028.89990234375
CD8 APC-A_std,152971.390625
CD8 APC-A_var,23400247296.0
CD8 APC-A_range,8682020.0
CD8 APC-A_iqr,17778.6259765625
CD8 APC-A_cv,3.3926186561584473
CD8 APC-A_skew,16.667088570937747
CD8 APC-A_kurtosis,627.641819469705
CD8 APC-A_min,2122.699951171875
CD8 APC-A_q05,4977.3751220703125
CD8 APC-A_q25,11412.6748046875
CD8 APC-A_q75,29191.30078125
CD8 APC-A_q95,108224.673828125
CD8 APC-A_max,8684143.0
CD8 APC-A_entropy,4.868279751019148
CD8 APC-A_num_outliers,5084.0
CD8 APC-A_num_modes,21.0
