,0
FSC-A_mean,7342674.5
FSC-A_median,6115018.0
FSC-A_mode,1958317.25
FSC-A_std,5704959.0
FSC-A_var,32546555428864.0
FSC-A_range,106163416.0
FSC-A_iqr,6756642.5625
FSC-A_cv,0.776959240436554
FSC-A_skew,2.483406907500402
FSC-A_kurtosis,14.594438117907412
FSC-A_min,240406.09375
FSC-A_q05,1661116.3
FSC-A_q25,3100752.6875
FSC-A_q75,9857395.25
FSC-A_q95,17428313.2
FSC-A_max,106403824.0
FSC-A_entropy,5.298943116435162
FSC-A_num_outliers,2090.0
FSC-A_num_modes,18.0
SSC-A_mean,8304974.5
SSC-A_median,5957893.0
SSC-A_mode,730360.875
SSC-A_std,7953557.5
SSC-A_var,63259075936256.0
SSC-A_range,122344560.0
SSC-A_iqr,8645953.875
SSC-A_cv,0.9576859474182129
SSC-A_skew,2.578536993332603
SSC-A_kurtosis,12.179781287248533
SSC-A_min,38158.30078125
SSC-A_q05,905545.834375
SSC-A_q25,2786579.125
SSC-A_q75,11432533.0
SSC-A_q95,22685087.0
SSC-A_max,122382720.0
SSC-A_entropy,5.273399074575117
SSC-A_num_outliers,2712.0
SSC-A_num_modes,16.0
CD103 FITC-A_mean,50322.45703125
CD103 FITC-A_median,31278.69921875
CD103 FITC-A_mode,15760.099609375
CD103 FITC-A_std,295389.03125
CD103 FITC-A_var,87254687744.0
CD103 FITC-A_range,59063832.0
CD103 FITC-A_iqr,26965.8994140625
CD103 FITC-A_cv,5.869924545288086
CD103 FITC-A_skew,130.95704770885854
CD103 FITC-A_kurtosis,24215.829933776444
CD103 FITC-A_min,5930.2998046875
CD103 FITC-A_q05,9536.994677734376
CD103 FITC-A_q25,21474.724609375
CD103 FITC-A_q75,48440.6240234375
CD103 FITC-A_q95,114827.912890625
CD103 FITC-A_max,59069764.0
CD103 FITC-A_entropy,7.2850398842627895
CD103 FITC-A_num_outliers,5433.0
CD103 FITC-A_num_modes,13.0
B7 PE-A_mean,87631.4609375
B7 PE-A_median,51210.69921875
B7 PE-A_mode,29596.599609375
B7 PE-A_std,497424.40625
B7 PE-A_var,247431036928.0
B7 PE-A_range,62246996.0
B7 PE-A_iqr,46192.7744140625
B7 PE-A_cv,5.676321983337402
B7 PE-A_skew,72.22923768952737
B7 PE-A_kurtosis,6980.274920739031
B7 PE-A_min,26104.69921875
B7 PE-A_q05,27606.56474609375
B7 PE-A_q25,35252.2998046875
B7 PE-A_q75,81445.07421875
B7 PE-A_q95,188267.6460937499
B7 PE-A_max,62273100.0
B7 PE-A_entropy,7.01408252789986
B7 PE-A_num_outliers,5175.0
B7 PE-A_num_modes,26.0
CD38 PC7-A_mean,291835.8125
CD38 PC7-A_median,211400.40625
CD38 PC7-A_mode,46255.1015625
CD38 PC7-A_std,401957.90625
CD38 PC7-A_var,161570160640.0
CD38 PC7-A_range,41386908.0
CD38 PC7-A_iqr,221384.798828125
CD38 PC7-A_cv,1.3773425817489624
CD38 PC7-A_skew,30.02947844749652
CD38 PC7-A_kurtosis,2338.971592243784
CD38 PC7-A_min,43324.5
CD38 PC7-A_q05,52180.3287109375
CD38 PC7-A_q25,122791.123046875
CD38 PC7-A_q75,344175.921875
CD38 PC7-A_q95,772443.1624999999
CD38 PC7-A_max,41430232.0
CD38 PC7-A_entropy,5.842004154128942
CD38 PC7-A_num_outliers,4496.0
CD38 PC7-A_num_modes,21.0
CD8 APC-A_mean,92667.8203125
CD8 APC-A_median,23577.0
CD8 APC-A_mode,8560.2001953125
CD8 APC-A_std,230269.78125
CD8 APC-A_var,53024169984.0
CD8 APC-A_range,23943988.0
CD8 APC-A_iqr,53474.550048828125
CD8 APC-A_cv,2.4848947525024414
CD8 APC-A_skew,21.93937910773044
CD8 APC-A_kurtosis,1808.2455699774089
CD8 APC-A_min,2126.39990234375
CD8 APC-A_q05,5281.360034179687
CD8 APC-A_q25,11855.124755859375
CD8 APC-A_q75,65329.6748046875
CD8 APC-A_q95,489235.1328124999
CD8 APC-A_max,23946114.0
CD8 APC-A_entropy,5.491971092720145
CD8 APC-A_num_outliers,8948.0
CD8 APC-A_num_modes,10.0
