,0
FSC-A_mean,4075951.25
FSC-A_median,3763446.5
FSC-A_mode,972784.5
FSC-A_std,3119676.0
FSC-A_var,9732378066944.0
FSC-A_range,108073352.0
FSC-A_iqr,1816316.5625
FSC-A_cv,0.7653859853744507
FSC-A_skew,8.029900311212742
FSC-A_kurtosis,128.2737367695915
FSC-A_min,232878.703125
FSC-A_q05,1245005.4125
FSC-A_q25,2661058.6875
FSC-A_q75,4477375.25
FSC-A_q95,7502375.549999991
FSC-A_max,108306232.0
FSC-A_entropy,6.1651180009292235
FSC-A_num_outliers,2613.0
FSC-A_num_modes,28.0
SSC-A_mean,4008460.75
SSC-A_median,3747139.25
SSC-A_mode,422294.5
SSC-A_std,4951115.0
SSC-A_var,24513540521984.0
SSC-A_range,139099808.0
SSC-A_iqr,3795119.375
SSC-A_cv,1.2351661920547485
SSC-A_skew,6.811687695501623
SSC-A_kurtosis,76.18088283606123
SSC-A_min,51463.6015625
SSC-A_q05,388765.1296875
SSC-A_q25,1138175.625
SSC-A_q75,4933295.0
SSC-A_q95,8560386.89999999
SSC-A_max,139151264.0
SSC-A_entropy,5.8109671867519985
SSC-A_num_outliers,1469.0
SSC-A_num_modes,25.0
CD103 FITC-A_mean,384980.53125
CD103 FITC-A_median,132315.3125
CD103 FITC-A_mode,20327.5
CD103 FITC-A_std,1375334.875
CD103 FITC-A_var,1891546038272.0
CD103 FITC-A_range,87814856.0
CD103 FITC-A_iqr,216886.1396484375
CD103 FITC-A_cv,3.572479009628296
CD103 FITC-A_skew,15.661367408930584
CD103 FITC-A_kurtosis,530.507620961032
CD103 FITC-A_min,10638.599609375
CD103 FITC-A_q05,16132.090087890625
CD103 FITC-A_q25,54108.5009765625
CD103 FITC-A_q75,270994.640625
CD103 FITC-A_q95,1142142.4749999987
CD103 FITC-A_max,87825496.0
CD103 FITC-A_entropy,6.884765653834394
CD103 FITC-A_num_outliers,4332.0
CD103 FITC-A_num_modes,22.0
B7 PE-A_mean,328709.71875
B7 PE-A_median,126711.796875
B7 PE-A_mode,40189.8984375
B7 PE-A_std,1070716.375
B7 PE-A_var,1146433437696.0
B7 PE-A_range,86547064.0
B7 PE-A_iqr,178037.974609375
B7 PE-A_cv,3.257331132888794
B7 PE-A_skew,24.559620781577557
B7 PE-A_kurtosis,1278.422549746087
B7 PE-A_min,35639.5
B7 PE-A_q05,39314.360156250004
B7 PE-A_q25,66714.474609375
B7 PE-A_q75,244752.44921875
B7 PE-A_q95,1007431.7968749998
B7 PE-A_max,86582704.0
B7 PE-A_entropy,6.956058773015827
B7 PE-A_num_outliers,5708.0
B7 PE-A_num_modes,23.0
CD38 PC7-A_mean,225721.65625
CD38 PC7-A_median,102796.203125
CD38 PC7-A_mode,46511.80078125
CD38 PC7-A_std,419165.53125
CD38 PC7-A_var,175699738624.0
CD38 PC7-A_range,31703490.0
CD38 PC7-A_iqr,162540.03125
CD38 PC7-A_cv,1.8570019006729126
CD38 PC7-A_skew,25.352179122710755
CD38 PC7-A_kurtosis,1425.0817179441713
CD38 PC7-A_min,44177.80078125
CD38 PC7-A_q05,47693.46015625
CD38 PC7-A_q25,66233.22265625
CD38 PC7-A_q75,228773.25390625
CD38 PC7-A_q95,803122.7843749981
CD38 PC7-A_max,31747668.0
CD38 PC7-A_entropy,5.304002021665756
CD38 PC7-A_num_outliers,5654.0
CD38 PC7-A_num_modes,14.0
CD8 APC-A_mean,152527.171875
CD8 APC-A_median,6638.85009765625
CD8 APC-A_mode,2347.89990234375
CD8 APC-A_std,388899.1875
CD8 APC-A_var,151242571776.0
CD8 APC-A_range,11185692.0
CD8 APC-A_iqr,58084.14929199219
CD8 APC-A_cv,2.5497043132781982
CD8 APC-A_skew,6.1798612748216115
CD8 APC-A_kurtosis,82.72555845858068
CD8 APC-A_min,855.4000244140625
CD8 APC-A_q05,1269.6449645996095
CD8 APC-A_q25,2772.9249267578125
CD8 APC-A_q75,60857.07421875
CD8 APC-A_q95,943378.7968749992
CD8 APC-A_max,11186547.0
CD8 APC-A_entropy,4.1267399165076455
CD8 APC-A_num_outliers,8554.0
CD8 APC-A_num_modes,27.0
