,0
FSC-A_mean,3908731.5
FSC-A_median,3181060.75
FSC-A_mode,2151681.5
FSC-A_std,3191896.0
FSC-A_var,10188199297024.0
FSC-A_range,105215384.0
FSC-A_iqr,2204513.625
FSC-A_cv,0.8166066408157349
FSC-A_skew,8.406828206268031
FSC-A_kurtosis,149.0614449248918
FSC-A_min,255008.703125
FSC-A_q05,1057220.75
FSC-A_q25,2580159.75
FSC-A_q75,4784673.375
FSC-A_q95,7951514.125
FSC-A_max,105470392.0
FSC-A_entropy,5.760925038657851
FSC-A_num_outliers,1211.0
FSC-A_num_modes,22.0
SSC-A_mean,2750909.25
SSC-A_median,1455324.0
SSC-A_mode,541636.3125
SSC-A_std,3805693.75
SSC-A_var,14483305005056.0
SSC-A_range,124048488.0
SSC-A_iqr,2880961.9375
SSC-A_cv,1.3834311962127686
SSC-A_skew,7.868883746437579
SSC-A_kurtosis,129.0468387751403
SSC-A_min,67260.3984375
SSC-A_q05,426692.015625
SSC-A_q25,779773.125
SSC-A_q75,3660735.0625
SSC-A_q95,7931304.25
SSC-A_max,124115752.0
SSC-A_entropy,5.6466666788270015
SSC-A_num_outliers,1238.0
SSC-A_num_modes,21.0
CD103 FITC-A_mean,85390.0078125
CD103 FITC-A_median,19855.8984375
CD103 FITC-A_mode,7639.89990234375
CD103 FITC-A_std,945506.0625
CD103 FITC-A_var,893981753344.0
CD103 FITC-A_range,38215484.0
CD103 FITC-A_iqr,27364.9482421875
CD103 FITC-A_cv,11.072794914245605
CD103 FITC-A_skew,27.214750742488082
CD103 FITC-A_kurtosis,848.8570247738728
CD103 FITC-A_min,6193.10009765625
CD103 FITC-A_q05,7219.6998291015625
CD103 FITC-A_q25,11864.5751953125
CD103 FITC-A_q75,39229.5234375
CD103 FITC-A_q95,136243.15234375
CD103 FITC-A_max,38221676.0
CD103 FITC-A_entropy,6.008314523435852
CD103 FITC-A_num_outliers,2622.0
CD103 FITC-A_num_modes,35.0
B7 PE-A_mean,207796.90625
B7 PE-A_median,61847.94921875
B7 PE-A_mode,37713.19921875
B7 PE-A_std,613864.8125
B7 PE-A_var,376830033920.0
B7 PE-A_range,36527648.0
B7 PE-A_iqr,119269.5048828125
B7 PE-A_cv,2.954157590866089
B7 PE-A_skew,28.34164188186841
B7 PE-A_kurtosis,1182.5446409978497
B7 PE-A_min,29007.400390625
B7 PE-A_q05,31044.125
B7 PE-A_q25,41019.4990234375
B7 PE-A_q75,160289.00390625
B7 PE-A_q95,801965.890625
B7 PE-A_max,36556656.0
B7 PE-A_entropy,5.336919489664455
B7 PE-A_num_outliers,4836.0
B7 PE-A_num_modes,25.0
CD38 PC7-A_mean,211543.5
CD38 PC7-A_median,107928.6015625
CD38 PC7-A_mode,30300.900390625
CD38 PC7-A_std,318820.9375
CD38 PC7-A_var,101646786560.0
CD38 PC7-A_range,15245061.0
CD38 PC7-A_iqr,180133.6015625
CD38 PC7-A_cv,1.5071176290512085
CD38 PC7-A_skew,11.097502309572254
CD38 PC7-A_kurtosis,319.68378357381715
CD38 PC7-A_min,29887.400390625
CD38 PC7-A_q05,33067.55078125
CD38 PC7-A_q25,57019.75
CD38 PC7-A_q75,237153.3515625
CD38 PC7-A_q95,711276.46875
CD38 PC7-A_max,15274948.0
CD38 PC7-A_entropy,4.344025726529111
CD38 PC7-A_num_outliers,2924.0
CD38 PC7-A_num_modes,20.0
CD8 APC-A_mean,185649.8125
CD8 APC-A_median,2908.7998046875
CD8 APC-A_mode,568.7999877929688
CD8 APC-A_std,371976.09375
CD8 APC-A_var,138366205952.0
CD8 APC-A_range,2865045.5
CD8 APC-A_iqr,22967.00030517578
CD8 APC-A_cv,2.003643751144409
CD8 APC-A_skew,1.8466561502392898
CD8 APC-A_kurtosis,2.150318206410227
CD8 APC-A_min,534.0
CD8 APC-A_q05,614.2499847412109
CD8 APC-A_q25,1103.5499877929688
CD8 APC-A_q75,24070.55029296875
CD8 APC-A_q95,1033925.296875
CD8 APC-A_max,2865579.5
CD8 APC-A_entropy,3.540964016787002
CD8 APC-A_num_outliers,5612.0
CD8 APC-A_num_modes,2.0
