,0
FSC-A_mean,3999673.25
FSC-A_median,3285549.75
FSC-A_mode,2474391.0
FSC-A_std,2911799.5
FSC-A_var,8478576869376.0
FSC-A_range,69051360.0
FSC-A_iqr,1160487.875
FSC-A_cv,0.7280093431472778
FSC-A_skew,6.045839035805712
FSC-A_kurtosis,62.44641078735255
FSC-A_min,263736.0
FSC-A_q05,1556155.925
FSC-A_q25,3001947.0
FSC-A_q75,4162434.875
FSC-A_q95,7871013.399999997
FSC-A_max,69315096.0
FSC-A_entropy,5.59155102403213
FSC-A_num_outliers,2606.0
FSC-A_num_modes,19.0
SSC-A_mean,2322121.5
SSC-A_median,1047028.6875
SSC-A_mode,609253.0
SSC-A_std,4608728.0
SSC-A_var,21240374886400.0
SSC-A_range,111595224.0
SSC-A_iqr,1128124.75
SSC-A_cv,1.9847058057785034
SSC-A_skew,8.163626991484719
SSC-A_kurtosis,98.21649371462627
SSC-A_min,153652.703125
SSC-A_q05,564371.50625
SSC-A_q25,851110.75
SSC-A_q75,1979235.5
SSC-A_q95,7200357.449999996
SSC-A_max,111748880.0
SSC-A_entropy,6.0888707072312585
SSC-A_num_outliers,2555.0
SSC-A_num_modes,23.0
CD103 FITC-A_mean,182350.15625
CD103 FITC-A_median,16822.099609375
CD103 FITC-A_mode,8046.10009765625
CD103 FITC-A_std,1817928.25
CD103 FITC-A_var,3304863301632.0
CD103 FITC-A_range,53037824.0
CD103 FITC-A_iqr,21978.24951171875
CD103 FITC-A_cv,9.969436645507812
CD103 FITC-A_skew,17.925796654915434
CD103 FITC-A_kurtosis,358.1701952863353
CD103 FITC-A_min,6148.7001953125
CD103 FITC-A_q05,7709.289892578125
CD103 FITC-A_q25,12482.10009765625
CD103 FITC-A_q75,34460.349609375
CD103 FITC-A_q95,289564.86874999997
CD103 FITC-A_max,53043972.0
CD103 FITC-A_entropy,6.726602098076209
CD103 FITC-A_num_outliers,3697.0
CD103 FITC-A_num_modes,31.0
B7 PE-A_mean,243046.359375
B7 PE-A_median,61506.19921875
B7 PE-A_mode,34979.8984375
B7 PE-A_std,1541121.25
B7 PE-A_var,2375054786560.0
B7 PE-A_range,51352028.0
B7 PE-A_iqr,73224.3984375
B7 PE-A_cv,6.340853214263916
B7 PE-A_skew,19.324303144089267
B7 PE-A_kurtosis,444.7950672089861
B7 PE-A_min,34078.8984375
B7 PE-A_q05,35617.6296875
B7 PE-A_q25,43799.5
B7 PE-A_q75,117023.8984375
B7 PE-A_q95,608085.2812499997
B7 PE-A_max,51386108.0
B7 PE-A_entropy,6.084650070575358
B7 PE-A_num_outliers,2731.0
B7 PE-A_num_modes,30.0
CD38 PC7-A_mean,370951.21875
CD38 PC7-A_median,211325.796875
CD38 PC7-A_mode,80116.203125
CD38 PC7-A_std,726076.25
CD38 PC7-A_var,527186690048.0
CD38 PC7-A_range,38258040.0
CD38 PC7-A_iqr,151033.5
CD38 PC7-A_cv,1.957336187362671
CD38 PC7-A_skew,13.614334253261491
CD38 PC7-A_kurtosis,474.59506567509163
CD38 PC7-A_min,79203.203125
CD38 PC7-A_q05,93657.22734375
CD38 PC7-A_q25,148917.34375
CD38 PC7-A_q75,299950.84375
CD38 PC7-A_q95,1152534.512499999
CD38 PC7-A_max,38337244.0
CD38 PC7-A_entropy,5.6067719997521515
CD38 PC7-A_num_outliers,2038.0
CD38 PC7-A_num_modes,14.0
CD8 APC-A_mean,91924.125
CD8 APC-A_median,1746.800048828125
CD8 APC-A_mode,665.2000122070312
CD8 APC-A_std,328943.0625
CD8 APC-A_var,108203540480.0
CD8 APC-A_range,22273126.0
CD8 APC-A_iqr,16276.749633789062
CD8 APC-A_cv,3.5784192085266113
CD8 APC-A_skew,20.18583291116984
CD8 APC-A_kurtosis,1114.9615271440614
CD8 APC-A_min,569.5
CD8 APC-A_q05,629.039990234375
CD8 APC-A_q25,915.5999755859375
CD8 APC-A_q75,17192.349609375
CD8 APC-A_q95,729834.7124999998
CD8 APC-A_max,22273696.0
CD8 APC-A_entropy,4.7069497590843445
CD8 APC-A_num_outliers,3430.0
CD8 APC-A_num_modes,12.0
